,_id,name,employees,year,category,id,money_raised,city,country,latitude,longitude,coordinates,number offices near
0,5e049e9de6eb90cad2d707ad,Fixya,30.0,2013,web,52cdef7c4bab8bd675297fec,8000000.0,San Mateo,USA,37.566879,-122.323895,"{'type': 'Point', 'coordinates': [-122.323895, 37.566879]}",2
2,5e049e9de6eb90cad2d707af,Social Gaming Network,100.0,2011,web,52cdef7c4bab8bd67529831a,17100000.0,Los Angeles,USA,37.446823,-122.161523,"{'type': 'Point', 'coordinates': [-122.161523, 37.446823]}",3
3,5e049e9de6eb90cad2d707b0,Skydeck,9.0,2012,web,52cdef7c4bab8bd675298509,4000000.0,Palo Alto,USA,37.5645375,-122.3254705,"{'type': 'Point', 'coordinates': [-122.3254705, 37.5645375]}",2
4,5e049e9de6eb90cad2d707b1,PeekYou,20.0,2012,web,52cdef7c4bab8bd675297f94,1830000.0,New York,USA,40.757929,-73.985506,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",6
9,5e049e9de6eb90cad2d707b7,Inuvo,50.0,2009,web,52cdef7d4bab8bd67529980b,4200000.0,Clearwater,USA,27.913011,-82.702449,"{'type': 'Point', 'coordinates': [-82.702449, 27.913011]}",2
10,5e049e9de6eb90cad2d707b8,Burt,30.0,2009,web,52cdef7d4bab8bd6752996f5,3500000.0,Gothenburg,SWE,59.337864,18.036587,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}",2
11,5e049e9de6eb90cad2d707ba,Burt,30.0,2009,web,52cdef7d4bab8bd675299a7f,3500000.0,Gothenburg,SWE,59.337864,18.036587,"{'type': 'Point', 'coordinates': [18.036587, 59.337864]}",2
12,5e049e9de6eb90cad2d707bc,Inuvo,50.0,2009,web,52cdef7d4bab8bd675299b95,4200000.0,Clearwater,USA,27.913011,-82.702449,"{'type': 'Point', 'coordinates': [-82.702449, 27.913011]}",2
14,5e049e9de6eb90cad2d707bf,Meez,21.0,2009,web,52cdef7e4bab8bd67529ac2f,10200000.0,San Francisco,USA,37.785271,-122.397582,"{'type': 'Point', 'coordinates': [-122.397582, 37.785271]}",2
17,5e049e9de6eb90cad2d707c3,Shutl,10.0,2009,web,52cdef7e4bab8bd67529af1f,7660000.0,London,GBR,51.5196135,-0.1020265,"{'type': 'Point', 'coordinates': [-0.1020265, 51.5196135]}",2
20,5e049e9de6eb90cad2d707c6,Yipit,23.0,2010,web,52cdef7d4bab8bd67529a1e3,7550000.0,New York,USA,40.744618,-73.987764,"{'type': 'Point', 'coordinates': [-73.987764, 40.744618]}",7
23,5e049e9de6eb90cad2d707c9,Cognitive Match,40.0,2009,web,52cdef7e4bab8bd67529b2d9,10200000.0,London,GBR,51.5119418,-0.0936688,"{'type': 'Point', 'coordinates': [-0.0936688, 51.5119418]}",2
24,5e049e9de6eb90cad2d707ca,Cognitive Match,40.0,2009,web,52cdef7e4bab8bd67529b2d9,10200000.0,New York,USA,40.7454098,-73.9822211,"{'type': 'Point', 'coordinates': [-73.9822211, 40.7454098]}",7
27,5e049e9de6eb90cad2d707cd,GameChanger Media,20.0,2009,web,52cdef7e4bab8bd67529b501,3640000.0,New York,USA,40.7078343,-74.0136605,"{'type': 'Point', 'coordinates': [-74.0136605, 40.7078343]}",3
28,5e049e9de6eb90cad2d707ce,Simulmedia,35.0,2009,web,52cdef7e4bab8bd67529b2dc,57300000.0,New York,USA,40.727216,-73.994797,"{'type': 'Point', 'coordinates': [-73.994797, 40.727216]}",7
29,5e049e9de6eb90cad2d707cf,Tongal,8.0,2009,web,52cdef7e4bab8bd67529b572,16000000.0,Santa Monica,USA,34.007112,-118.489748,"{'type': 'Point', 'coordinates': [-118.489748, 34.007112]}",2
34,5e049e9de6eb90cad2d707d6,Chartbeat,50.0,2009,web,52cdef7e4bab8bd67529b5fc,14500000.0,New York,USA,40.73343,-73.990967,"{'type': 'Point', 'coordinates': [-73.990967, 40.73343]}",7
35,5e049e9de6eb90cad2d707da,Vaultive,25.0,2009,web,52cdef7e4bab8bd67529bc99,11000000.0,New York,USA,40.707954,-74.011114,"{'type': 'Point', 'coordinates': [-74.011114, 40.707954]}",3
39,5e049e9de6eb90cad2d707df,Gravity,12.0,2009,web,52cdef7f4bab8bd67529bdcd,20600000.0,Santa Monica,USA,34.007967,-118.489681,"{'type': 'Point', 'coordinates': [-118.489681, 34.007967]}",2
40,5e049e9de6eb90cad2d707e1,Fliptop,16.0,2010,web,52cdef7e4bab8bd67529bd23,6790000.0,San Francisco,USA,37.775206,-122.419209,"{'type': 'Point', 'coordinates': [-122.419209, 37.775206]}",2
44,5e049e9de6eb90cad2d707e6,Layar,32.0,2009,web,52cdef7f4bab8bd67529c12a,13400000.0,Amsterdam,NLD,52.3657578,4.8928722,"{'type': 'Point', 'coordinates': [4.8928722, 52.3657578]}",2
45,5e049e9de6eb90cad2d707e7,ChallengePost,17.0,2009,web,52cdef7f4bab8bd67529c343,4600000.0,New York,USA,40.7408042,-74.00717,"{'type': 'Point', 'coordinates': [-74.00717, 40.7408042]}",7
